Name;Name of the plant;Used plant parts;Type of preparation;Function(s) of this ingredient in cosmetic products;Origin;Belongs to the following substance groups;Background information on use in cosmetics;Substance information;Name / description;Occurrence in cosmetics;Occurrence in other products;Further information;Url
PISTACIA LENTISCUS FRUIT OIL;"Mastic; Mastic Tree; Pistachio";Fruit pulp;Fat or essential oil;Maintains the skin in good condition;Softens and smoothens the skin;plant;;;;;;;https://cosmileeurope.eu/inci/detail/23475/pistacia-lentiscus-fruit-oil/
PISTACIA LENTISCUS GUM;"Mastic; Mastic Tree; Pistachio";;Resin;Produces a continuous film on skin, hair and / or nails;;"Fragrances or mixtures of fragrances are often referred to in the cosmetics area as ""perfuming agents"" or ""perfume oils"" or ""parfum oils"". On the cosmetic products they are declared with the INCI name ""PARFUM"". These are undiluted individual substances or their mixtures which originate from natural raw materials or can be produced (semi-) synthetically. They are starting materials for the production of perfume, eau de parfum, eau de toilette, eau de cologne and other perfumed cosmetic products. The average content of fragrances amounts in perfume to 15-30 %, in eau de parfum to 10-14 %, in eau de toilette to 6-9 %, in eau de cologne to 3-5 % as well as in skin creams, shampoos, hair and deodorant sprays to approximately 0.2-1 % and approximately 1-3 in deodorant sticks.

The perfume oils include essential oils, resinoids and absolutes. The sources are, amongst others, flowers, leaves and stems, fruits and fruit peels or roots of plants; woods, grasses or herbs, needles, resins and balsams. Moreover, only compounds isolated from natural products such as aldehydes, ketones, esters, alcohols etc. are used (geraniol, citronellal, citral, eugenol, menthol) as well as semi-synthetic (citronellol, geranyl acetate, jonone) and synthetic scents (eg phenylethyl alcohol and linalool) are used. Scents of animal origin such as musk and ambra are only rarely used.";Enhances the smell of a product and / or perfumes the skin;;;;;;https://cosmileeurope.eu/inci/detail/11823/pistacia-lentiscus-gum/
PISTACIA LENTISCUS GUM OIL;"Mastic; Mastic Tree; Pistachio";;"Resin

Fat or essential oil";"Prevents seborrhea and / or seborrheic dermatitis or relieves their symptoms; and / or acts against dandruff";;Part of perfume oils and / or flavours;Helps control the growth of micro-organisms (eg bacteria and fungi);;;;;;https://cosmileeurope.eu/inci/detail/17213/pistacia-lentiscus-gum-oil/
PISTACIA LENTISCUS GUM WATER;"Mastic; Mastic Tree; Pistachio";;"Resin

Steam distillate";"Prevents seborrhea and / or seborrheic dermatitis or relieves their symptoms; and / or acts against dandruff";;Part of perfume oils and / or flavours;Helps control the growth of micro-organisms (eg bacteria and fungi);;;;;;https://cosmileeurope.eu/inci/detail/17214/pistacia-lentiscus-gum-water/
PISTACIA LENTISCUS LEAF CERA;"Mastic; Mastic Tree; Pistachio";Leaves (or needles);Vegetable wax;Protects the skin from external influences;Increases or decreases the viscosity of cosmetic products;plant;;;;;;;https://cosmileeurope.eu/inci/detail/11826/pistacia-lentiscus-leaf-cera/
PISTACIA LENTISCUS LEAF EXTRACT;"Mastic; Mastic Tree; Pistachio";Leaves (or needles);Extract (solvent extract);Part of perfume oils and / or flavours;plant;;"Fragrances or mixtures of fragrances are often referred to in the cosmetics area as ""perfuming agents"" or ""perfume oils"" or ""parfum oils"". On the cosmetic products they are declared with the INCI name ""PARFUM"". These are undiluted individual substances or their mixtures which originate from natural raw materials or can be produced (semi-) synthetically. They are starting materials for the production of perfume, eau de parfum, eau de toilette, eau de cologne and other perfumed cosmetic products. The average content of fragrances amounts in perfume to 15-30 %, in eau de parfum to 10-14 %, in eau de toilette to 6-9 %, in eau de cologne to 3-5 % as well as in skin creams, shampoos, hair and deodorant sprays to approximately 0.2-1 % and approximately 1-3 in deodorant sticks.

The perfume oils include essential oils, resinoids and absolutes. The sources are, amongst others, flowers, leaves and stems, fruits and fruit peels or roots of plants; woods, grasses or herbs, needles, resins and balsams. Moreover, only compounds isolated from natural products such as aldehydes, ketones, esters, alcohols etc. are used (geraniol, citronellal, citral, eugenol, menthol) as well as semi-synthetic (citronellol, geranyl acetate, jonone) and synthetic scents (eg phenylethyl alcohol and linalool) are used. Scents of animal origin such as musk and ambra are only rarely used.";;;;;;https://cosmileeurope.eu/inci/detail/26706/pistacia-lentiscus-leaf-extract/
PISTACIA LENTISCUS LEAF OIL;"Mastic; Mastic Tree; Pistachio";Leaves (or needles);Fat or essential oil;Part of perfume oils and / or flavours;plant;;"Fragrances or mixtures of fragrances are often referred to in the cosmetics area as ""perfuming agents"" or ""perfume oils"" or ""parfum oils"". On the cosmetic products they are declared with the INCI name ""PARFUM"". These are undiluted individual substances or their mixtures which originate from natural raw materials or can be produced (semi-) synthetically. They are starting materials for the production of perfume, eau de parfum, eau de toilette, eau de cologne and other perfumed cosmetic products. The average content of fragrances amounts in perfume to 15-30 %, in eau de parfum to 10-14 %, in eau de toilette to 6-9 %, in eau de cologne to 3-5 % as well as in skin creams, shampoos, hair and deodorant sprays to approximately 0.2-1 % and approximately 1-3 in deodorant sticks.

The perfume oils include essential oils, resinoids and absolutes. The sources are, amongst others, flowers, leaves and stems, fruits and fruit peels or roots of plants; woods, grasses or herbs, needles, resins and balsams. Moreover, only compounds isolated from natural products such as aldehydes, ketones, esters, alcohols etc. are used (geraniol, citronellal, citral, eugenol, menthol) as well as semi-synthetic (citronellol, geranyl acetate, jonone) and synthetic scents (eg phenylethyl alcohol and linalool) are used. Scents of animal origin such as musk and ambra are only rarely used.";;;;;;https://cosmileeurope.eu/inci/detail/26707/pistacia-lentiscus-leaf-oil/
PISTACIA LENTISCUS LEAF WAX;"Mastic; Mastic Tree; Pistachio";Leaves (or needles);Vegetable wax;The function of this ingredient in cosmetic products has not yet been further specified;;;;;;;;;https://cosmileeurope.eu/inci/detail/22545/pistacia-lentiscus-leaf-wax/
PISTACIA LENTISCUS SEED OIL;"Mastic; Mastic Tree; Pistachio";Seeds (kernels);Fat or essential oil;Helps control the growth of micro-organisms (eg bacteria and fungi);plant;;Vegetable oils are characterised by a high share of (poly) unsaturated fatty acids, which are characteristic for the liquid consistency. As an admixture many vitamins, carotenoids and free fatty acids are present.;;;;;;https://cosmileeurope.eu/inci/detail/23331/pistacia-lentiscus-seed-oil/
PISTACIA VERA SEED EXTRACT;"Pistache; Pistachio";Seeds (kernels);Extract (solvent extract);Leaves the hair easy to comb, supple, soft and shiny and / or imparts volume;Maintains the skin in good condition;plant;;;;;;;https://cosmileeurope.eu/inci/detail/11827/pistacia-vera-seed-extract/
